code,descr,status,picref,catalog1,catalog2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,catgDisplayNum,info
6110o9201,"02.11.92 Machine Postage Label 'Klussendorf 2' Christmas '92, tariff set of 6 values (0.75/1.10/1.40/3.25/3.60/3.90)","1 In Stock",pic.php?ID=6110o9201,"C C1","B K.15",50.00,,,,cart2.php?Action=Add&Prod=6110o9201&Which=Price,,,,,,,,1,
6110o9305,"16.11.93 Machine Postage Label 'Klussendorf 3' Christmas '93, tariff set of 6 values 0.85/1.30/1.60/3.85/4.30/4.60","1 In Stock",pic.php?ID=6110o9305,"C C3","B K.16",45.00,,,,cart2.php?Action=Add&Prod=6110o9305&Which=Price,,,,,,,,1,
6110o9413,"27.11.94 'Klussendorf 13' Christmas '94, short tariff set of 6 values 0.90/1.40/1.70/4.10/4.60/4.90","Sold Out",pic.php?ID=6110o9413,"C C5","B K.17",22.00,,,,,,,,,,,,1,
psPC1-2,"20.08.50 Two first Israeli Postcards 10, 15pr, First Day Cancel - rare","Sold Out",pic.php?ID=psPC1-2,"B PC.1-2",,45.00,,,,,,,,,,,,1,
psPC19n,"19.09.57 Air Mail Postcard 340pr 'Tabil' Exhibition Numbered, Mint","2 In Stock",pic.php?ID=psPC19n,"B PC.12",,2.50,,,,cart2.php?Action=Add&Prod=psPC19n&Which=Price,,,,,,,,1,
psPC19u,"19.09.57 Air Mail Postcard 340pr 'Tabil' Exhibition Numbered, FDC","2 In Stock",pic.php?ID=psPC19u,"B PC.12",,2.50,,,,cart2.php?Action=Add&Prod=psPC19u&Which=Price,,,,,,,,1,
psPCo24bk,"16.08.59 Postcards Booklet 10x60pr Stag & Olive Branch stamp, AVG","1 In Stock",pic.php?ID=psPCo24bk,"B PC.14BK",,14.00,,,,cart2.php?Action=Add&Prod=psPCo24bk&Which=Price,,,,,,,,1,
6110or1,"1948 First Israeli Revenue stamps, Mils Currency, complete set of 14 used","1 In Stock",pic.php?ID=6110or1,"B REV. 1-14",,100.00,,,,cart2.php?Action=Add&Prod=6110or1&Which=Price,,,,,,,,1,
6110or2,"1949 Second Set of Israeli Revenue stamps, Prutot Currency, complete set of 4 used","1 In Stock",pic.php?ID=6110or2,"B REV. 15-18",,45.00,,,,cart2.php?Action=Add&Prod=6110or2&Which=Price,,,,,,,,1,
6110o63,"1963 Complete tabed Mint year set 26 stamps + 1 S/S, (10 stamps MH, Souvenir Sheet has bent)","Sold Out",pic.php?ID=6110o63,"C 287-311, 303A","S C28-C37, 235-250, 237a",40.00,,,,,,,,,,,,1,
6110o85,"1985 Complete tabed Mint year set 23 stamps + 4 S/S, (most stamps MH, Souvenir Sheets MNH)","Sold Out",pic.php?ID=6110o85,"C 1051-1084","S 896-921, 899A",30.00,,,,,,,,,,,,1,
6110o4805,"Two parts in this collection, first part complete 23 first years 1948-1970, second part complete 19 years 1987-2005, all MINT no tabs. In total 1192 stamps and 46 Souvenir sheets (plus 25 from booklets and variants). Only on first years can be found some hinged stamps. It's a complete 42 years Israel stamps collection, all stamps on hingeless heavy 2 album pages, no stain all clean. Postage is extra. Each part can be sell separately, first part for 600 and second for 475.","Sold Out",,,,890.00,,,,,,,,,,,,1,
6110o4860,,"Sold Out",pic.php?ID=6110o4860,,,,,,,,,,,,,,,1,
6110o9905,,"Sold Out",,,,,,,,,,,,,,,,1,
ce73018a,"16.05.73 25th Anniversary of the Doar Ivri Stamps - set of 9 envelopes","1 In Stock",pic.php?ID=ce73018a,,,7.50,,,,cart2.php?Action=Add&Prod=ce73018a&Which=Price,,,,,,,,1,
cover350,"350 diff. covers postcards and cancellations includes some old stained","Sold Out",pic.php?ID=cover350,,,50.00,,,,,,,,,,,,1,
cover50,"50 diff. covers and cancellations","Sold Out",pic.php?ID=cover50,,,13.00,,,,,,,,,,,,1,
cover40,"40 diff. covers and cancellations","Sold Out",pic.php?ID=cover40,,,9.00,,,,,,,,,,,,1,
cover35,"35 diff. covers and cancellations","Sold Out",pic.php?ID=cover35,,,7.00,,,,,,,,,,,,1,
cover30,"30 diff. covers and cancellations","Sold Out",pic.php?ID=cover30,,,5.00,,,,,,,,,,,,1,
cover25,"25 diff. covers and cancellations","Sold Out",pic.php?ID=cover25,,,4.00,,,,,,,,,,,,1,
cover22,"22 diff. covers and cancellations","Sold Out",pic.php?ID=cover22,,,3.50,,,,,,,,,,,,1,
cover20,"20 diff. covers and cancellations","Sold Out",pic.php?ID=cover20,,,3.00,,,,,,,,,,,,1,
cover18,"18 diff. covers and cancellations","Sold Out",pic.php?ID=cover18,,,2.50,,,,,,,,,,,,1,
6110mc65,"65 Covers from diff. Settlements Cancellations Military Adm. (West Bank & Gaza Strip)","Sold Out",,,,16.00,,,,,,,,,,,,1,
6110mc75,"75 Covers from diff. Settlements Cancellations Military Adm. (West Bank & Gaza Strip)","Sold Out",,,,20.00,,,,,,,,,,,,1,
6110oc160,"160 Covers from diff. Settlements FD Cancellations","Sold Out",,,,40.00,,,,,,,,,,,,1,
6110oc260,"260 Covers from diff. Settlements FD Cancellations","! NEW ! 1 In Stock",,,,80.00,,,,cart2.php?Action=Add&Prod=6110oc260&Which=Price,,,,,,,,1,
6110sc65,"65 Covers with diff. Slogan Cancellations","Sold Out",,,,18.50,,,,,,,,,,,,1,
6110ps3k,"Over 3 kg Israel Postal Stationery","Sold Out",pic.php?ID=6110ps3k,,,100.00,,,,,,,,,,,,1,
6110oALBU,,"Sold Out",pic.php?ID=6110oALBU,,,,,,,,,,,,,,,1,
6110o5985,"27 Consecutive years from 1959 to 1985 of Memorial Day stamps on original page of first Ministry of Defense 1952 issue, each with FD Cancel. Would like to get details on this item as: who issued, what purpose, the amount, etc.","Sold Out",pic.php?ID=6110o5985,,,110.00,,,,,,,,,,,,1,
6110s1,"1948 Doar Ivri 3-50",Available,pic.php?ID=6110s1,"C 1-6","S 1-6",355.00,11.00,1.80,20.50,cart2.php?Action=Add&Prod=6110s1&Which=Price,cart2.php?Action=Add&Prod=6110s1&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s1&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s1&Which=PriceSpec,,,,,2,
6110s2,"1948 Doar Ivri 250-1000",Available,pic.php?ID=6110s2,"C 7-9","S 7-9",7000.00,270.00,216.00,500.00,cart2.php?Action=Add&Prod=6110s2&Which=Price,cart2.php?Action=Add&Prod=6110s2&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s2&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s2&Which=PriceSpec,,,,,2,
6110s4,"1948 Postage Due (Coins 5)",Available,pic.php?ID=6110s4,"C 10-14","S J1-J5",2850.00,----,86.00,105.00,cart2.php?Action=Add&Prod=6110s4&Which=Price,,cart2.php?Action=Add&Prod=6110s4&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s4&Which=PriceSpec,,,,,2,
6110s5,"1948 Festivals 5709 (Scrolls)","In Stock",pic.php?ID=6110s5,"C 15-19","S 10-14",285.00,5.50,6.90,16.00,cart2.php?Action=Add&Prod=6110s5&Which=Price,cart2.php?Action=Add&Prod=6110s5&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s5&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s5&Which=PriceSpec,,,,,2,
6110s8,"1949 Jerusalem (Migdal David)","In Stock",pic.php?ID=6110s8,"C 20","S 24",35.00,3.00,1.30,1.13,cart2.php?Action=Add&Prod=6110s8&Which=Price,cart2.php?Action=Add&Prod=6110s8&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s8&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s8&Which=PriceSpec,,,,,2,
6110s9,"1949 Flag","In Stock",pic.php?ID=6110s9,"C 21","S 15",56.00,0.70,0.65,0.65,cart2.php?Action=Add&Prod=6110s9&Which=Price,cart2.php?Action=Add&Prod=6110s9&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s9&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s9&Which=PriceSpec,,,,,2,
6110s10,"1949 TABUL - Souvenir Sheet","In Stock",pic.php?ID=6110s10,"C B1","S 16",125.00,32.50,39.00,125.00,cart2.php?Action=Add&Prod=6110s10&Which=Price,cart2.php?Action=Add&Prod=6110s10&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s10&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s10&Which=PriceSpec,,,,,2,
6110s11,"1949 Petah-Tiqwa","In Stock",pic.php?ID=6110s11,"C 23","S 27",100.00,6.25,1.50,6.25,cart2.php?Action=Add&Prod=6110s11&Which=Price,cart2.php?Action=Add&Prod=6110s11&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s11&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s11&Which=PriceSpec,,,,,2,
6110s12,"1949 Festivals 5710 (Emblems)","In Stock",pic.php?ID=6110s12,"C 24-26","S 28-30",675.00,3.50,5.60,7.50,cart2.php?Action=Add&Prod=6110s12&Which=Price,cart2.php?Action=Add&Prod=6110s12&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s12&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s12&Which=PriceSpec,,,,,2,
6110s13,"1949 Coins Mered (6)","In Stock",pic.php?ID=6110s13,"C 33-38","S 17-22",80.00,5.75,0.86,1.50,cart2.php?Action=Add&Prod=6110s13&Which=Price,cart2.php?Action=Add&Prod=6110s13&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s13&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s13&Which=PriceSpec,,,,,2,
6110s15,"1949 Postage Due Numbers (6)","In Stock",pic.php?ID=6110s15,"C 27-32","S J6-J11",140.00,----,1.35,1.50,cart2.php?Action=Add&Prod=6110s15&Which=Price,,cart2.php?Action=Add&Prod=6110s15&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s15&Which=PriceSpec,,,,,2,
